Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
Jack White,John Anthony Gillis,1975|7|9,Detroit,1987–present,,Jack White,"<p class=""mw-empty-elt"">
</p>
<p><b>John Anthony White</b> (<span title=""Name at birth"">né <b>Gillis</b></span>; born July 9, 1975), is an American musician, singer, songwriter, and music producer, best known as the lead singer and guitarist of the duo the White Stripes. White has enjoyed consistent critical and popular success and is widely credited as one of the key artists in the garage rock revival of the 2000s. He has won 12 Grammy Awards, and three of his solo albums have reached number one on the <i>Billboard</i> charts. <i>Rolling Stone</i> ranked him number 70 on its 2010 list of ""The 100 Greatest Guitarists of All Time"". David Fricke's 2010 list ranked him at number 17.</p><p>After moonlighting in several underground Detroit bands as a drummer, White founded the White Stripes with fellow Detroit native and then-wife Meg White in 1997. Their 2001 breakthrough album, <i>White Blood Cells</i>, brought them international fame with the hit single and accompanying music video ""Fell in Love with a Girl"". This recognition provided White opportunities to collaborate with famous artists, including Loretta Lynn and Bob Dylan. In 2005, White founded the Raconteurs with Brendan Benson, and in 2009 founded the Dead Weather with Alison Mosshart of the Kills. In 2008, he recorded ""Another Way to Die"" (the title song for the 2008 James Bond film <i>Quantum of Solace</i>) with Alicia Keys, making them the only duet to perform a Bond song. White has released four solo studio albums, which have garnered wide critical and commercial success.
</p><p>White is a board member of the Library of Congress' National Recording Preservation Foundation. His record label and studio Third Man Records releases vinyl recordings of his own work as well as that of other artists and local school children. His second studio album, <i>Lazaretto</i> (2014), holds the record for most first-week vinyl sales since 1991. White has an extensive collection of guitars and other instruments and has a preference for vintage items that often have connections to famous blues artists. He is a vocal advocate for analog technology and recording techniques.
</p><p>White values his privacy and has been known to create misdirection about his personal life. He and Meg White married in 1996, but divorced in 2000 before the height of the band's fame. They then began calling themselves siblings. He was later married to model and singer Karen Elson from 2005 to 2013; they have a son and daughter. He currently resides in Nashville, Tennessee.
</p><p>In 2012, the <i>New York Times</i> called White ""the coolest, weirdest and savviest rockstar of our time"".</p>


",
,,,,,,,,
Jewel,Jewel Kilcher,1974|05|23,Payson,1994–present,Vocals|guitar,Jewel (singer),"<p class=""mw-empty-elt"">
</p>
<p><b>Jewel Kilcher</b> (born May 23, 1974) is an American singer-songwriter, actress, and author. She has received four Grammy Award nominations and, as of 2021, has sold over 30 million albums worldwide.</p><p>Jewel was raised near Homer, Alaska, where she grew up singing and yodeling as a duo with her father, a local musician. At age fifteen, she received a partial scholarship at the Interlochen Arts Academy in Michigan, where she studied operatic voice. After graduating, she began writing and performing at clubs and coffeehouses in San Diego, California. Based on local media attention, she was offered a recording contract with Atlantic Records, which released her debut album, <i>Pieces of You</i>, in 1995; it went on to become one of the best-selling debut albums of all time, going 12-times platinum. The debut single from the album, ""Who Will Save Your Soul"", peaked at number 11 on the <i>Billboard</i> Hot 100; two others, ""You Were Meant for Me"" and ""Foolish Games"", reached number two on the Hot 100, and were listed on <i>Billboard</i>'s 1997 year-end singles chart, as well as <i>Billboard</i><span>'</span>s 1998 year-end singles chart.
</p><p>Her subsequent album, <i>Spirit</i>, was released in 1998, followed by <i>This Way</i> (2001). In 2003, she released <i>0304</i>, which marked a departure from her previous folk-oriented records, featuring electronic arrangements and elements of dance-pop. In 2008, she released <i>Perfectly Clear</i>, her first country album; it debuted atop <i>Billboard</i><span>'</span>s Top Country Albums chart and featured three singles, ""Stronger Woman"", ""I Do"", and ""'Til It Feels Like Cheating"". Jewel released her first independent album, <i>Lullaby</i>, in 2009. 
</p><p>Jewel has also had endeavors in writing and acting; in 1998 she released a collection of poetry, and the following year appeared in a supporting role in Ang Lee's Western film <i>Ride with the Devil</i> (1999) which earned her critical acclaim. On December 15, 2021, Jewel won the sixth season of <i>The Masked Singer</i> as the Queen of Hearts.</p>",
,,,,,,,,
JoJo,Joanna Noëlle Levesque,1990|12|20,Brattleboro,1998–present,,JoJo (singer),"<p class=""mw-empty-elt"">


</p>

<p><b>Joanna Noëlle Levesque</b> (born December 20, 1990), known professionally as <b>JoJo</b>, is an American singer and actress. She began performing in singing competitions and local talent shows as a child. In 2003, record producer Vincent Herbert noticed her after she competed on the television show <i>America's Most Talented Kids</i> and asked her to audition for his record label Blackground Records. After signing with the label, JoJo released her eponymous debut studio album in 2004. It peaked at number four on the US <i>Billboard</i> 200 and was later certified platinum by the Recording Industry Association of America (RIAA), selling over four million copies worldwide to date.</p><p>With her debut single ""Leave (Get Out)"" peaking atop the US <i>Billboard</i> Mainstream Top 40 chart, JoJo became the youngest solo artist in history to top the chart at age 13. The song peaked at 12 on the <i>Billboard</i> Hot 100 and was certified gold by the RIAA along with its follow-up single ""Baby It's You"". Her second studio album <i>The High Road</i> (2006) spawned her first top-five Hot 100 hit ""Too Little Too Late"", peaking at number three, becoming her first single to be certified platinum by the RIAA. The album was later certified gold, selling over three million copies worldwide to date.</p><p>Record label disputes delayed JoJo from commercially releasing her third studio album; she released two mixtapes independently, <i>Can't Take That Away from Me</i> (2010) and <i>Agápē</i> (2012). After her contractual release, JoJo signed with Atlantic Records in 2014 and released her first commercial EP <i>III</i> (2015), followed by her third studio album <i>Mad Love</i> (2016), which became her third top-ten album in the US. She left Atlantic in 2017 and founded her record label Clover Music through a joint venture with Warner Records, where she re-recorded and re-released her debut and second albums as the label's first project in 2018. JoJo's fourth studio album <i>Good to Know</i> was released in May 2020, preceded by its first single, ""Man"". In October, she released her first Christmas album called <i>December Baby</i>. By 2007, JoJo had sold more than seven million records worldwide, including 2.1 million albums and four million digital downloads in the United States.</p><p>In addition to her music career, JoJo has also pursued an acting career. In 2006, she made her on-screen feature film debut in <i>Aquamarine</i> and <i>R.V.</i> alongside Robin Williams. She has also had guest appearances on the television shows <i>The Bernie Mac Show</i> (2002), <i>American Dreams</i> (2004), <i>Romeo!</i> (2006), <i>Hawaii Five-0</i> (2011) and <i>Lethal Weapon</i> (2017). Other films JoJo has appeared in include the Lifetime Television film <i>True Confessions of a Hollywood Starlet</i> (2008) and <i>G.B.F.</i> (2013).
</p>",
,,,,,,,,
Dope,Brian Ebejer,1974|3|21,West Palm Beach,1997–present,"* Vocals
* guitar
* keyboards",Edsel Dope,"<p class=""mw-empty-elt"">
</p>

<p><b>Brian Ebejer</b> (born March 21, 1974), known professionally as <b>Edsel Dope</b>, is an American musician who is the lead singer, rhythm guitarist and main songwriter for nu metal/industrial metal band Dope. Dope was founded in 1997 by Edsel and his brother Simon (keyboards) in New York City.</p><p>Edsel co-produced all of Dope's albums. On <i>Felons and Revolutionaries</i>, Dope's first album released in 1999, Edsel played and programmed most of the musical instruments.</p><p>In 2019, a new lead vocalist and rhythm guitarist joined Static-X under the moniker <b>Xer0</b>, which led to speculation and rumors that it was Edsel Dope. Edsel has denied that he is Xer0.</p>",
,,,,,,,,
Fever Ray,Karin Elisabeth Dreijer,1975|4|7,Gothenburg,1994–present,"* Vocals
* guitar
* keyboards",Karin Dreijer,"<p class=""mw-empty-elt"">

</p>

<p><b>Karin Elisabeth Dreijer</b> (born 7 April 1975) is a Swedish singer-songwriter and record producer. Dreijer was one half of the electronic music duo the Knife, formed with their brother Olof Dreijer. Dreijer released their debut solo album under the alias <b>Fever Ray</b> in January 2009. Their second studio album, <i>Plunge</i>, under the same alias, was released in October 2017.
</p><p>Dreijer's vocal style is notable for both shrill and deep tones, and also the use of multitracked vocals, with different uses of pitch-shifting technology on each track, creating an intricate and mysterious effect. Visually, they employ the use of masks, face and body paint, intricate costumes, and other theatrical elements in photo shoots, videos and live performances, during which they often perform behind a gauze screen that partially obscures the audience's view.</p>",
,,,,,,,,
Ben Howard,Benjamin John Howard,1987|04|24,Richmond,2008–present,Vocals|guitar|percussion,Ben Howard,"<p class=""mw-empty-elt"">

</p>

<p><b>Benjamin John Howard</b> (born 24 April 1987) is an English singer-songwriter, musician and composer. His self-released debut EP <i>Games in the Dark</i> (2008) was followed by two more EPs, <i>These Waters</i> (2009) and <i>Old Pine</i> (2010). Signed to Island Records, his debut studio album came in 2011 titled <i>Every Kingdom</i>. The album reached number four on the UK Albums Chart and was certified double platinum by the British Phonographic Industry (BPI). Howard later released two more EPs, <i>Ben Howard Live</i> (2011) and <i>The Burgh Island E.P.</i> (2012).
</p><p>At the 2013 Brit Awards ceremony he received two awards: British Male Solo Artist, and British Breakthrough Act. He performed at 2013 Glastonbury festival on the Pyramid Stage on Saturday 29 June. He released his second studio album, <i>I Forget Where We Were</i>, in October 2014, peaking at number one on the UK Albums Chart.
</p><p>As of 2017, he is a member of the band A Blaze of Feather with India Bourne, Mickey Smith, Nat Wason, Rich Thomas and Kyle Keegan.</p><p>Howard's third studio album, <i>Noonday Dream</i>, was released in June 2018. It debuted at number four on the UK Albums Chart, and received favorable reviews from music critics. His fourth album, <i>Collections from the Whiteout,</i>  was released on 26 March 2021.</p>


",
